Category,Province,Values in 2022 (100 million yuan),Values in 2021 (100 million yuan),Values in 2020 (100 million yuan),Values in 2019 (100 million yuan),Values in 2018 (100 million yuan),Values in 2017 (100 million yuan),Values in 2016 (100 million yuan),Values in 2015 (100 million yuan),Values in 2014 (100 million yuan),Values in 2013 (100 million yuan),Values in 2012 (100 million yuan),Values in 2011 (100 million yuan),Values in 2010 (100 million yuan),Values in 2009 (100 million yuan),Values in 2008 (100 million yuan),Values in 2007 (100 million yuan),Values in 2006 (100 million yuan),Values in 2005 (100 million yuan),Values in 2004 (100 million yuan),Values in 2003 (100 million yuan),Values in 2002 (100 million yuan),Values in 2001 (100 million yuan),Values in 2000 (100 million yuan),Values in 1999 (100 million yuan),Values in 1998 (100 million yuan),Values in 1997 (100 million yuan)
public,Shanghai,1914.50 ,1843.50 ,1474.82 ,1650.44 ,1650.44 ,1344.54 ,1237.32 ,1133.17 ,1044.46 ,935.06 ,895.31 ,868.31 ,834.40 ,635.01 ,769.64 ,723.13 ,669.01 ,582.60 ,489.04 ,420.53 ,382.82 ,344.85 ,315.42 ,271.97 ,244.42 ,227.88 
public,Jiangsu,3655.60 ,3466.20 ,3239.92 ,3157.21 ,3157.21 ,3097.67 ,2837.16 ,2705.44 ,2591.15 ,2530.02 ,2352.40 ,2127.93 ,1768.30 ,1423.25 ,1218.81 ,1039.46 ,928.41 ,741.06 ,945.43 ,821.48 ,717.76 ,644.87 ,557.37 ,484.86 ,435.77 ,369.54 
public,Zhejiang,2375.50 ,2252.00 ,1967.85 ,1962.13 ,1962.13 ,1938.17 ,1774.37 ,1631.88 ,1525.93 ,1326.02 ,1278.91 ,1206.95 ,1076.67 ,888.02 ,827.71 ,739.44 ,630.94 ,512.94 ,834.95 ,700.88 ,602.00 ,503.68 ,428.30 ,364.90 ,321.75 ,288.93 
public,Anhui,2171.70 ,2056.90 ,1970.77 ,1973.87 ,1973.87 ,875.38 ,826.90 ,791.72 ,784.44 ,707.10 ,650.21 ,589.82 ,527.02 ,467.92 ,547.41 ,483.04 ,409.64 ,358.71 ,312.22 ,254.32 ,219.44 ,195.30 ,179.85 ,162.94 ,152.29 ,126.66 
public,Fujian,1960.00 ,1772.70 ,1497.31 ,1484.58 ,1484.58 ,1889.69 ,1689.82 ,1547.30 ,1320.35 ,1176.19 ,1090.07 ,963.85 ,871.16 ,751.42 ,735.44 ,650.25 ,537.11 ,455.18 ,601.42 ,532.04 ,491.00 ,468.49 ,444.13 ,392.88 ,347.25 ,298.72 
public,Jiangxi,1341.70 ,1218.90 ,1104.89 ,1083.72 ,1083.72 ,866.30 ,796.47 ,736.15 ,710.08 ,678.62 ,630.56 ,507.44 ,446.22 ,394.90 ,384.35 ,337.60 ,306.14 ,300.60 ,300.27 ,261.11 ,243.61 ,216.10 ,194.98 ,167.74 ,145.40 ,115.41 
public,Shandong,4911.00 ,4166.80 ,3553.15 ,3636.06 ,3636.06 ,3268.01 ,2725.41 ,2503.65 ,2326.25 ,2746.11 ,2516.19 ,2328.38 ,1971.00 ,1742.33 ,1873.58 ,1399.94 ,1212.33 ,968.64 ,990.65 ,724.62 ,667.75 ,668.49 ,553.17 ,490.90 ,442.20 ,424.36 
public,Henan,3721.10 ,3378.40 ,3052.62 ,2970.41 ,2970.41 ,2162.85 ,1938.06 ,1809.39 ,1676.46 ,1309.30 ,1151.91 ,961.50 ,873.30 ,823.57 ,1043.87 ,866.73 ,739.29 ,625.87 ,678.73 ,561.17 ,491.57 ,442.07 ,391.88 ,333.49 ,299.63 ,268.26 
public,Hubei,2313.90 ,2180.30 ,1780.67 ,2233.45 ,2233.45 ,1420.01 ,1297.48 ,1242.34 ,1181.58 ,1078.11 ,934.96 ,869.48 ,753.61 ,642.72 ,584.19 ,479.92 ,425.37 ,365.71 ,395.82 ,334.59 ,306.43 ,282.45 ,256.94 ,215.85 ,195.56 ,167.68 
public,Hunan,1696.90 ,1652.40 ,1561.04 ,1556.52 ,1556.52 ,1496.01 ,1356.56 ,1291.03 ,1257.64 ,1174.29 ,1077.65 ,948.82 ,832.28 ,704.83 ,523.13 ,477.27 ,426.09 ,366.72 ,425.38 ,359.83 ,322.58 ,294.90 ,277.69 ,240.40 ,216.49 ,195.38 
public,Guangdong,4040.90 ,3957.30 ,3360.13 ,3466.42 ,3466.42 ,3580.94 ,3209.72 ,2928.90 ,2740.76 ,2604.41 ,2367.46 ,2090.36 ,1825.29 ,1595.34 ,1387.51 ,1254.58 ,1113.77 ,990.53 ,1351.62 ,1207.67 ,1157.75 ,1073.81 ,908.45 ,745.15 ,688.83 ,629.34 
public,Guangxi,1098.30 ,1050.50 ,908.81 ,902.04 ,902.04 ,955.70 ,855.67 ,803.10 ,733.63 ,677.77 ,625.57 ,588.20 ,480.17 ,378.75 ,359.46 ,311.22 ,261.14 ,225.20 ,286.44 ,248.22 ,225.81 ,187.66 ,160.87 ,145.30 ,125.04 ,120.06 
public,Hainan,371.90 ,352.80 ,244.08 ,246.93 ,222.93 ,248.94 ,199.89 ,187.80 ,185.15 ,140.96 ,133.40 ,119.74 ,101.90 ,88.68 ,96.53 ,86.36 ,73.81 ,64.34 ,66.81 ,58.19 ,54.62 ,50.76 ,46.97 ,42.37 ,35.03 ,31.70 
public,Chongqing,1084.00 ,1087.30 ,952.87 ,977.14 ,947.14 ,939.46 ,848.22 ,761.31 ,705.83 ,580.93 ,515.15 ,456.25 ,389.55 ,347.98 ,309.59 ,265.74 ,259.59 ,218.97 ,153.83 ,136.56 ,123.97 ,109.48 ,98.19 ,87.22 ,78.93 ,72.43 
